name,location,cuisines,votes,rating,cost_for_two
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",775,4.1,800.0
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",787,4.1,800.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",918,3.8,800.0
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",88,3.7,300.0
Grand Village,Basavanagudi,"North Indian, Rajasthani",166,3.8,600.0
Timepass Dinner,Basavanagudi,North Indian,286,3.8,600.0
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",8,3.6,800.0
Onesta,Banashankari,"Pizza, Cafe, Italian",2556,4.6,600.0
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",324,4.0,700.0
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",504,4.2,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,402,4.1,500.0
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",150,4.2,600.0
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",164,4.2,500.0
Caf-Eleven,Banashankari,"Cafe, Continental",424,4.0,450.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",918,3.8,800.0
Cafe Vivacity,Banashankari,Cafe,90,3.8,650.0
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",133,3.9,800.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",144,3.8,700.0
T3H Cafe,Banashankari,"Cafe, Italian, American",93,3.9,300.0
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",13,3.1,400.0
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",62,3.0,400.0
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",180,3.7,500.0
Cafe Coffee Day,Banashankari,"Cafe, Fast Food",28,3.6,900.0
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",62,3.6,600.0
Hide Out Cafe,Banashankari,Cafe,31,3.7,300.0
CAFE NOVA,Banashankari,"Cafe, Bakery",11,3.2,600.0
Coffee Tindi,Banashankari,"Cafe, South Indian",75,3.8,200.0
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",4,3.3,500.0
Cuppa,Banashankari,"Cafe, Fast Food",23,3.3,550.0
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",148,3.8,550.0
Redberrys,Basavanagudi,"Cafe, Italian",219,4.0,600.0
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",506,2.8,500.0
Sweet Truth,Banashankari,"Bakery, Desserts",35,3.9,500.0
Ovenstory Pizza,Banashankari,Pizza,172,3.9,750.0
Faasos,Banashankari,"North Indian, Biryani, Fast Food",415,4.2,500.0
Behrouz Biryani,Banashankari,Biryani,230,3.9,650.0
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",91,2.8,400.0
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",1647,4.2,600.0
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4884,4.4,750.0
Maruthi Davangere Benne Dosa,Banashankari,South Indian,17,4.0,150.0
Chaatimes,Basavanagudi,"Street Food, Fast Food",133,3.8,200.0
Havyaka Mess,Banashankari,South Indian,28,3.9,300.0
McDonald's,Banashankari,"Burger, Fast Food",286,3.9,500.0
Domino's Pizza,Banashankari,"Pizza, Fast Food",540,3.9,800.0
Onesta,Banashankari,"Pizza, Cafe, Italian",2556,4.6,600.0
Hotboxit,Banashankari,"North Indian, Continental, Italian",36,3.8,400.0
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",244,3.6,300.0
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",804,4.0,450.0
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",679,3.7,850.0
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",245,3.1,300.0
Petoo,Banashankari,North Indian,21,3.7,450.0
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",28,4.1,150.0
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",345,4.3,400.0
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",618,4.0,750.0
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",1047,4.0,450.0
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",627,3.9,450.0
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",104,3.8,300.0
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",354,4.2,800.0
Five Star Chicken,Banashankari,"Fast Food, Burger",55,3.6,200.0
XO Belgian Waffle,Banashankari,"Desserts, Beverages",17,3.7,400.0
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",244,4.2,800.0
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",163,3.6,800.0
Chinese Kitchen,Basavanagudi,Chinese,58,3.8,150.0
1947,Banashankari,"North Indian, Chinese",808,4.0,850.0
Cake of the Day,Banashankari,Bakery,78,3.7,150.0
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",1720,4.1,400.0
Namma Brahmin's Idli,Jayanagar,South Indian,34,3.6,100.0
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",868,4.1,1200.0
Sugar Rush,Banashankari,"Bakery, Desserts",39,3.8,300.0
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",71,3.2,600.0
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",6,3.6,500.0
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",520,4.1,300.0
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",84,2.9,700.0
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",299,3.6,300.0
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,558,4.1,150.0
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",28,3.6,300.0
Kolbeh,Banashankari,Fast Food,22,3.7,500.0
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",39,3.8,350.0
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",153,3.8,500.0
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",146,4.2,400.0
Parimala Sweets,Banashankari,"Mithai, Street Food",14,3.5,200.0
Vaishali Deluxe,Banashankari,"North Indian, Chinese",42,3.8,700.0
The Big O Bakes,Banashankari,"Bakery, Desserts",66,4.0,300.0
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4401,4.4,600.0
Krishna Sagar,Banashankari,North Indian,31,3.5,200.0
Dessert Rose,Banashankari,Desserts,7,3.5,500.0
Chickpet Donne Biryani House,Banashankari,Biryani,21,3.7,250.0
Thanco's Natural Ice Creams,Banashankari,Ice Cream,9,3.2,300.0
Nandhini Deluxe,Banashankari,North Indian,283,2.6,600.0
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",62,3.3,800.0
Kaggis,Banashankari,"Fast Food, Bakery",64,3.8,250.0
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",39,3.7,950.0
Chatar Patar,Banashankari,"Fast Food, Street Food",65,3.7,300.0
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",71,3.8,400.0
Kidambi's Kitchen,Banashankari,South Indian,52,3.5,300.0
Mane Thindi,Banashankari,South Indian,130,3.7,200.0
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",10,3.5,300.0
Floured-Baked With Love,Banashankari,Bakery,45,3.8,400.0
CAFE NOVA,Banashankari,"Cafe, Bakery",11,3.2,600.0
Cakes & Slices,Banashankari,"Bakery, Desserts",13,3.5,300.0
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",8,3.4,300.0
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,9,3.2,300.0
Katriguppe Donne Biryani,Banashankari,North Indian,4,3.2,300.0
Atithi Point Ande Ka Funda,Banashankari,North Indian,29,3.1,150.0
Just Bake,Banashankari,"Bakery, Desserts",8,3.4,400.0
K27 - The Pub,Banashankari,"Chinese, North Indian",30,3.1,1000.0
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",201,4.1,300.0
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",7,3.3,200.0
Coffee Bytes,Banashankari,"Fast Food, South Indian",6,3.1,100.0
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",17,3.3,200.0
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",25,2.9,200.0
Ruchi Maayaka,Banashankari,South Indian,8,3.3,100.0
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",771,4.0,450.0
Darbar,Banashankari,"North Indian, Chinese",98,3.0,800.0
Vijayalakshmi,Basavanagudi,South Indian,47,3.9,200.0
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",175,4.1,500.0
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",58,3.8,300.0
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",540,3.8,650.0
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",124,3.8,400.0
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",340,4.1,500.0
KFC,Banashankari,"Burger, Fast Food",505,3.8,450.0
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",438,4.1,500.0
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",264,3.7,750.0
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",169,3.9,150.0
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",67,3.0,250.0
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",97,3.7,350.0
Al Diwan Biryanis And More,Basavanagudi,Biryani,12,3.3,300.0
New Gowda's Fried Chicken,Banashankari,Biryani,12,3.3,300.0
Canton,Jayanagar,"Chinese, Seafood, Biryani",195,3.6,800.0
